,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,score_dff (home-away),team_away,team_favorite_id,favor_direction,favor_score_diff,spread_favorite,win_loss,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
10923,10/27/2013,2013,8,FALSE,MIN,31,44,-13,GB,GB,Away,-13,-7.5,TRUE,47,Mall of America Field,FALSE,72,0,,indoor
10924,10/27/2013,2013,8,FALSE,NE,27,17,10,MIA,NE,Home,-10,-5.5,TRUE,45,Gillette Stadium,FALSE,53,14,45,
10925,10/27/2013,2013,8,FALSE,NO,35,17,18,BUF,NO,Home,-18,-10.5,TRUE,48,Louisiana Superdome,FALSE,72,0,,indoor
10926,10/27/2013,2013,8,FALSE,LVR,21,18,3,PIT,PIT,Away,3,-2.5,FALSE,40.5,Oakland Coliseum,FALSE,59,17,81,
10927,10/27/2013,2013,8,FALSE,PHI,7,15,-8,NYG,PHI,Home,8,-5.5,FALSE,49.5,Lincoln Financial Field,FALSE,58,13,40,
10928,10/28/2013,2013,8,FALSE,LAR,9,14,-5,SEA,SEA,Away,-5,-13,FALSE,43.5,Edward Jones Dome,FALSE,72,0,,indoor
10929,10/31/2013,2013,9,FALSE,MIA,22,20,2,CIN,CIN,Away,2,-3,FALSE,42,Sun Life Stadium,FALSE,79,8,76,
10930,11/3/2013,2013,9,FALSE,BUF,13,23,-10,KC,KC,Away,-10,-4.5,TRUE,41,Ralph Wilson Stadium,FALSE,38,7,58,
10931,11/3/2013,2013,9,FALSE,CAR,34,10,24,ATL,CAR,Home,-24,-8,TRUE,47,Bank of America Stadium,FALSE,62,12,41,
10932,11/3/2013,2013,9,FALSE,CLE,24,18,6,BAL,BAL,Away,6,-1,FALSE,42,FirstEnergy Stadium,FALSE,46,9,54,
10933,11/3/2013,2013,9,FALSE,DAL,27,23,4,MIN,DAL,Home,-4,-8.5,FALSE,50.5,Cowboys Stadium,FALSE,72,0,,indoor
10934,11/3/2013,2013,9,FALSE,HOU,24,27,-3,IND,IND,Away,-3,-1,TRUE,44,Reliant Stadium,FALSE,60,8,78,retractable (open roof)
10935,11/3/2013,2013,9,FALSE,NE,55,31,24,PIT,NE,Home,-24,-5.5,TRUE,43,Gillette Stadium,FALSE,44,6,44,
10936,11/3/2013,2013,9,FALSE,NYJ,26,20,6,NO,NO,Away,6,-5.5,FALSE,46,MetLife Stadium,FALSE,53,8,53,
10937,11/3/2013,2013,9,FALSE,LVR,20,49,-29,PHI,LVR,Home,29,-1,FALSE,45.5,Oakland Coliseum,FALSE,62,6,30,
10938,11/3/2013,2013,9,FALSE,SEA,27,24,3,TB,SEA,Home,-3,-14.5,FALSE,40.5,CenturyLink Field,FALSE,52,4,68,
10939,11/3/2013,2013,9,FALSE,LAR,21,28,-7,TEN,TEN,Away,-7,-3,TRUE,40.5,Edward Jones Dome,FALSE,72,0,,indoor
10940,11/3/2013,2013,9,FALSE,WAS,30,24,6,LAC,PICK,?,FALSE,0,FALSE,48.5,FedEx Field,FALSE,57,20,41,
10941,11/4/2013,2013,9,FALSE,GB,20,27,-7,CHI,GB,Home,7,-9.5,FALSE,50.5,Lambeau Field,FALSE,49,6,77,
10942,11/7/2013,2013,10,FALSE,MIN,34,27,7,WAS,WAS,Away,7,-1,FALSE,48,Mall of America Field,FALSE,72,0,,indoor
10943,11/10/2013,2013,10,FALSE,ARI,27,24,3,HOU,ARI,Home,-3,-3.5,FALSE,42,University of Phoenix Stadium,FALSE,72,0,,indoor
10944,11/10/2013,2013,10,FALSE,ATL,10,33,-23,SEA,SEA,Away,-23,-3,TRUE,47,Georgia Dome,FALSE,72,0,,indoor
10945,11/10/2013,2013,10,FALSE,BAL,20,17,3,CIN,BAL,Home,-3,-2,TRUE,43.5,M&T Bank Stadium,FALSE,62,17,36,
10946,11/10/2013,2013,10,FALSE,CHI,19,21,-2,DET,DET,Away,-2,-1.5,TRUE,52,Soldier Field,FALSE,47,6,51,
10947,11/10/2013,2013,10,FALSE,GB,13,27,-14,PHI,PHI,Away,-14,-1,TRUE,47,Lambeau Field,FALSE,46,9,48,
10948,11/10/2013,2013,10,FALSE,IND,8,38,-30,LAR,IND,Home,30,-7,FALSE,43,Lucas Oil Stadium,FALSE,72,0,,indoor
10949,11/10/2013,2013,10,FALSE,NO,49,17,32,DAL,NO,Home,-32,-5.5,TRUE,53.5,Louisiana Superdome,FALSE,72,0,,indoor
10950,11/10/2013,2013,10,FALSE,NYG,24,20,4,LVR,NYG,Home,-4,-7,FALSE,41,MetLife Stadium,FALSE,53,14,71,rain
10951,11/10/2013,2013,10,FALSE,PIT,23,10,13,BUF,PIT,Home,-13,-2.5,TRUE,43,Heinz Field,FALSE,46,21,56,
10952,11/10/2013,2013,10,FALSE,LAC,20,28,-8,DEN,DEN,Away,-8,-7,TRUE,57,Qualcomm Stadium,FALSE,78,6,14,
10953,11/10/2013,2013,10,FALSE,SF,9,10,-1,CAR,SF,Home,1,-5.5,FALSE,42.5,Candlestick Park,FALSE,62,6,65,
10954,11/10/2013,2013,10,FALSE,TEN,27,29,-2,JAX,TEN,Home,2,-11.5,FALSE,42,Nissan Stadium,FALSE,65,6,40,
10955,11/11/2013,2013,10,FALSE,TB,22,19,3,MIA,MIA,Away,3,-2.5,FALSE,39.5,Raymond James Stadium,FALSE,73,5,74,
10956,11/14/2013,2013,11,FALSE,TEN,27,30,-3,IND,IND,Away,-3,-3,FALSE,42,Nissan Stadium,FALSE,44,5,36,
10957,11/17/2013,2013,11,FALSE,BUF,37,14,23,NYJ,NYJ,Away,23,-2,FALSE,39.5,Ralph Wilson Stadium,FALSE,62,17,71,
10958,11/17/2013,2013,11,FALSE,CHI,23,20,3,BAL,CHI,Home,-3,-3.5,FALSE,41,Soldier Field,FALSE,68,24,82,
10959,11/17/2013,2013,11,FALSE,CIN,41,20,21,CLE,CIN,Home,-21,-4.5,TRUE,40,Paul Brown Stadium,FALSE,64,7,92,
10960,11/17/2013,2013,11,FALSE,DEN,27,17,10,KC,DEN,Home,-10,-7.5,TRUE,49,Sports Authority Field at Mile High,FALSE,43,6,34,
10961,11/17/2013,2013,11,FALSE,HOU,23,28,-5,LVR,HOU,Home,5,-10.5,FALSE,40.5,Reliant Stadium,FALSE,85,3,75,retractable (open roof)
10962,11/17/2013,2013,11,FALSE,JAX,14,27,-13,ARI,ARI,Away,-13,-9,TRUE,40.5,EverBank Field,FALSE,79,8,,
10963,11/17/2013,2013,11,FALSE,MIA,20,16,4,LAC,LAC,Away,4,-3,FALSE,44.5,Sun Life Stadium,FALSE,81,8,67,
10964,11/17/2013,2013,11,FALSE,NO,23,20,3,SF,NO,Home,-3,-3.5,FALSE,49.5,Louisiana Superdome,FALSE,72,0,,indoor
10965,11/17/2013,2013,11,FALSE,NYG,27,13,14,GB,NYG,Home,-14,-3,TRUE,40.5,MetLife Stadium,FALSE,61,2,100,fog
10966,11/17/2013,2013,11,FALSE,PHI,24,16,8,WAS,PHI,Home,-8,-4,TRUE,54,Lincoln Financial Field,FALSE,67,7,71,
10967,11/17/2013,2013,11,FALSE,PIT,37,27,10,DET,DET,Away,10,-3,FALSE,45,Heinz Field,FALSE,60,12,87,rain
10968,11/17/2013,2013,11,FALSE,SEA,41,20,21,MIN,SEA,Home,-21,-13,TRUE,45,CenturyLink Field,FALSE,50,5,81,
10969,11/17/2013,2013,11,FALSE,TB,41,28,13,ATL,TB,Home,-13,-2,TRUE,43.5,Raymond James Stadium,FALSE,79,6,74,
10970,11/18/2013,2013,11,FALSE,CAR,24,20,4,NE,CAR,Home,-4,-3,TRUE,45.5,Bank of America Stadium,FALSE,59,8,35,
10971,11/21/2013,2013,12,FALSE,ATL,13,17,-4,NO,NO,Away,-4,-7,FALSE,52.5,Georgia Dome,FALSE,72,0,,indoor
10972,11/24/2013,2013,12,FALSE,ARI,40,11,29,IND,ARI,Home,-29,-3,TRUE,44.5,University of Phoenix Stadium,FALSE,72,0,,indoor
10973,11/24/2013,2013,12,FALSE,BAL,19,3,16,NYJ,BAL,Home,-16,-3.5,TRUE,38.5,M&T Bank Stadium,FALSE,34,26,23,
10974,11/24/2013,2013,12,FALSE,CLE,11,27,-16,PIT,CLE,Home,16,-2,FALSE,39,FirstEnergy Stadium,FALSE,33,31,84,snow
10975,11/24/2013,2013,12,FALSE,DET,21,24,-3,TB,DET,Home,3,-7,FALSE,48,Ford Field,FALSE,72,0,,indoor
10976,11/24/2013,2013,12,FALSE,GB,26,26,0,MIN,GB,Home,0,-5.5,FALSE,44.5,Lambeau Field,FALSE,20,10,52,
10977,11/24/2013,2013,12,FALSE,HOU,6,13,-7,JAX,HOU,Home,7,-10,FALSE,43.5,Reliant Stadium,FALSE,50,9,55,retractable (open roof)
10978,11/24/2013,2013,12,FALSE,KC,38,41,-3,LAC,KC,Home,3,-3,FALSE,42.5,Arrowhead Stadium,FALSE,28,4,50,
