,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
11562,12/20/2015,2015,15,False,LAC,30,14,MIA,LAC,-1.0,47,Qualcomm Stadium,False,60.0,6.0,,
11563,12/20/2015,2015,15,False,SF,14,24,CIN,CIN,-6.5,41,Levi's Stadium,False,52.0,5.0,,
11564,12/20/2015,2015,15,False,SEA,30,13,CLE,SEA,-14.5,45.5,CenturyLink Field,False,44.0,8.0,,
11565,12/20/2015,2015,15,False,WAS,35,25,BUF,BUF,-2.0,46,FedEx Field,False,45.0,3.0,,
11566,12/21/2015,2015,15,False,NO,27,35,DET,NO,-2.5,52,Louisiana Superdome,False,72.0,0.0,,indoor
11567,12/24/2015,2015,16,False,LVR,23,20,LAC,LVR,-4.0,45.5,Oakland Coliseum,False,46.0,8.0,,
11568,12/26/2015,2015,16,False,PHI,24,38,WAS,PHI,-3.5,48.5,Lincoln Financial Field,False,50.0,5.0,,
11569,12/27/2015,2015,16,False,ARI,38,8,GB,ARI,-6.0,50.5,University of Phoenix Stadium,False,72.0,0.0,,indoor
11570,12/27/2015,2015,16,False,ATL,20,13,CAR,CAR,-7.0,46,Georgia Dome,False,72.0,0.0,,indoor
11571,12/27/2015,2015,16,False,BAL,20,17,PIT,PIT,-11.5,47.5,M&T Bank Stadium,False,63.0,6.0,,
11572,12/27/2015,2015,16,False,BUF,16,6,DAL,BUF,-6.5,42,Ralph Wilson Stadium,False,37.0,5.0,,
11573,12/27/2015,2015,16,False,DET,32,17,SF,DET,-9.0,42.5,Ford Field,False,72.0,0.0,,indoor
11574,12/27/2015,2015,16,False,KC,17,13,CLE,KC,-11.5,42.5,Arrowhead Stadium,False,34.0,12.0,,
11575,12/27/2015,2015,16,False,MIA,12,18,IND,MIA,-2.5,44,Sun Life Stadium,False,81.0,13.0,,
11576,12/27/2015,2015,16,False,MIN,49,17,NYG,MIN,-7.0,44.5,TCF Bank Stadium,False,12.0,5.0,,
11577,12/27/2015,2015,16,False,NO,38,27,JAX,NO,-2.5,53.5,Louisiana Superdome,False,72.0,0.0,,indoor
11578,12/27/2015,2015,16,False,NYJ,26,20,NE,NE,-2.5,45.5,MetLife Stadium,False,56.0,7.0,,
11579,12/27/2015,2015,16,False,SEA,17,23,LAR,SEA,-11.0,42,CenturyLink Field,False,37.0,2.0,,rain
11580,12/27/2015,2015,16,False,TB,21,26,CHI,TB,-3.0,44,Raymond James Stadium,False,83.0,11.0,,
11581,12/27/2015,2015,16,False,TEN,6,34,HOU,HOU,-3.5,39,Nissan Stadium,False,72.0,10.0,,
11582,12/28/2015,2015,16,False,DEN,20,17,CIN,DEN,-4.0,39,Sports Authority Field at Mile High,False,16.0,0.0,,
11583,1/3/2016,2015,17,False,ARI,6,36,SEA,ARI,-6.0,47,University of Phoenix Stadium,False,72.0,0.0,,indoor
11584,1/3/2016,2015,17,False,ATL,17,20,NO,ATL,-6.0,53.5,Georgia Dome,False,72.0,0.0,,indoor
11585,1/3/2016,2015,17,False,BUF,22,17,NYJ,NYJ,-3.0,41,Ralph Wilson Stadium,False,30.0,10.0,,
11586,1/3/2016,2015,17,False,CAR,38,10,TB,CAR,-10.0,45,Bank of America Stadium,False,48.0,5.0,,
11587,1/3/2016,2015,17,False,CHI,20,24,DET,DET,-2.5,45,Soldier Field,False,30.0,10.0,,
11588,1/3/2016,2015,17,False,CIN,24,16,BAL,CIN,-9.5,41,Paul Brown Stadium,False,33.0,5.0,,
11589,1/3/2016,2015,17,False,CLE,12,28,PIT,PIT,-13.0,47,FirstEnergy Stadium,False,34.0,12.0,,
11590,1/3/2016,2015,17,False,DAL,23,34,WAS,DAL,-3.0,41,Cowboys Stadium,False,54.0,4.0,,retractable (open roof)
11591,1/3/2016,2015,17,False,DEN,27,20,LAC,DEN,-10.0,42,Sports Authority Field at Mile High,False,44.0,0.0,,
11592,1/3/2016,2015,17,False,GB,13,20,MIN,GB,-3.0,44,Lambeau Field,False,23.0,5.0,,
11593,1/3/2016,2015,17,False,HOU,30,6,JAX,HOU,-6.0,45,Reliant Stadium,False,56.0,4.0,,retractable (open roof)
11594,1/3/2016,2015,17,False,IND,30,24,TEN,IND,-4.0,39,Lucas Oil Stadium,False,72.0,0.0,,indoor
11595,1/3/2016,2015,17,False,KC,23,17,LVR,KC,-6.5,43.5,Arrowhead Stadium,False,32.0,7.0,,
11596,1/3/2016,2015,17,False,MIA,20,10,NE,NE,-10.0,46.5,Sun Life Stadium,False,78.0,4.0,,
11597,1/3/2016,2015,17,False,NYG,30,35,PHI,NYG,-3.5,51,MetLife Stadium,False,44.0,10.0,,
11598,1/3/2016,2015,17,False,SF,19,16,LAR,LAR,-3.0,38.5,Levi's Stadium,False,57.0,0.0,,
11599,1/9/2016,2015,Wildcard,True,CIN,16,18,PIT,PIT,-3.0,45,Paul Brown Stadium,False,51.0,5.0,,
11600,1/9/2016,2015,Wildcard,True,HOU,0,30,KC,KC,-3.0,40,Reliant Stadium,False,72.0,0.0,,indoor
11601,1/10/2016,2015,Wildcard,True,MIN,9,10,SEA,SEA,-4.5,40,TCF Bank Stadium,False,-6.0,12.0,,
11602,1/10/2016,2015,Wildcard,True,WAS,18,35,GB,WAS,-1.0,46,FedEx Field,False,61.0,14.0,,
11603,1/16/2016,2015,Division,True,ARI,26,20,GB,ARI,-7.0,49,University of Phoenix Stadium,False,72.0,0.0,,indoor
11604,1/16/2016,2015,Division,True,NE,27,20,KC,NE,-4.5,43,Gillette Stadium,False,38.0,6.0,,
