,schedule_season,schedule_week,team_home,score_home,score_away,team_away,team_favorite_id,favorite_win,home_win
368,2014,7,LVR,13,24,ARI,ARI,1,0
369,2014,7,LAC,20,23,KC,LAC,0,0
370,2014,7,LAR,28,26,SEA,SEA,0,1
371,2014,7,WAS,19,17,TEN,WAS,1,1
372,2014,7,PIT,30,23,HOU,PIT,1,1
373,2014,8,DEN,35,21,LAC,DEN,1,1
374,2014,8,ARI,24,20,PHI,ARI,1,1
375,2014,8,ATL,21,22,DET,DET,1,0
376,2014,8,CAR,9,13,SEA,SEA,1,0
377,2014,8,CIN,27,24,BAL,BAL,0,1
378,2014,8,CLE,23,13,LVR,CLE,1,1
379,2014,8,JAX,13,27,MIA,MIA,1,0
380,2014,8,KC,34,7,LAR,KC,1,1
381,2014,8,NE,51,23,CHI,NE,1,1
382,2014,8,NO,44,23,GB,NO,1,1
383,2014,8,NYJ,23,43,BUF,NYJ,0,0
384,2014,8,PIT,51,34,IND,IND,0,1
385,2014,8,TB,13,19,MIN,TB,0,0
386,2014,8,TEN,16,30,HOU,HOU,1,0
387,2014,8,DAL,17,20,WAS,DAL,0,0
388,2014,9,CAR,10,28,NO,NO,1,0
389,2014,9,CIN,33,23,JAX,CIN,1,1
390,2014,9,CLE,22,17,TB,CLE,1,1
391,2014,9,DAL,17,28,ARI,DAL,0,0
392,2014,9,HOU,21,31,PHI,PHI,1,0
393,2014,9,KC,24,10,NYJ,KC,1,1
394,2014,9,MIA,37,0,LAC,MIA,1,1
395,2014,9,MIN,29,26,WAS,WAS,0,1
396,2014,9,NE,43,21,DEN,DEN,0,1
397,2014,9,PIT,43,23,BAL,PIT,1,1
398,2014,9,SF,10,13,LAR,SF,0,0
399,2014,9,SEA,30,24,LVR,SEA,1,1
400,2014,9,NYG,24,40,IND,IND,1,0
401,2014,10,CIN,3,24,CLE,CIN,0,0
402,2014,10,ARI,31,14,LAR,ARI,1,1
403,2014,10,BAL,21,7,TEN,BAL,1,1
404,2014,10,BUF,13,17,KC,BUF,0,0
405,2014,10,DET,20,16,MIA,DET,1,1
406,2014,10,GB,55,14,CHI,GB,1,1
407,2014,10,JAX,17,31,DAL,DAL,1,0
408,2014,10,NO,24,27,SF,NO,0,0
409,2014,10,NYJ,20,13,PIT,PIT,0,1
410,2014,10,LVR,17,41,DEN,DEN,1,0
411,2014,10,SEA,38,17,NYG,SEA,1,1
412,2014,10,TB,17,27,ATL,ATL,1,0
413,2014,10,PHI,45,21,CAR,PHI,1,1
414,2014,11,MIA,22,9,BUF,MIA,1,1
415,2014,11,ARI,14,6,DET,DET,0,1
416,2014,11,CAR,17,19,ATL,ATL,1,0
417,2014,11,CHI,21,13,MIN,CHI,1,1
418,2014,11,CLE,7,23,HOU,CLE,0,0
419,2014,11,GB,53,20,PHI,GB,1,1
420,2014,11,IND,20,42,NE,IND,0,0
421,2014,11,KC,24,20,SEA,SEA,0,1
422,2014,11,NO,10,27,CIN,NO,0,0
423,2014,11,NYG,10,16,SF,SF,1,0
424,2014,11,LAC,13,6,LVR,LAC,1,1
425,2014,11,LAR,22,7,DEN,DEN,0,1
426,2014,11,WAS,7,27,TB,WAS,0,0
427,2014,11,TEN,24,27,PIT,PIT,1,0
428,2014,12,LVR,24,20,KC,KC,0,1
429,2014,12,ATL,24,26,CLE,ATL,0,0
430,2014,12,CHI,21,13,TB,CHI,1,1
431,2014,12,DEN,39,36,MIA,DEN,1,1
432,2014,12,HOU,13,22,CIN,HOU,0,0
433,2014,12,IND,23,3,JAX,IND,1,1
434,2014,12,MIN,21,24,GB,GB,1,0
435,2014,12,NE,34,9,DET,NE,1,1
436,2014,12,NYG,28,31,DAL,DAL,1,0
437,2014,12,PHI,43,24,TEN,PHI,1,1
438,2014,12,LAC,27,24,LAR,LAC,1,1
439,2014,12,SF,17,13,WAS,SF,1,1
440,2014,12,SEA,19,3,ARI,SEA,1,1
441,2014,12,BUF,38,3,NYJ,BUF,1,1
442,2014,12,NO,27,34,BAL,NO,0,0
443,2014,13,DAL,10,33,PHI,DAL,0,0
444,2014,13,DET,34,17,CHI,DET,1,1
445,2014,13,SF,3,19,SEA,SF,0,0
446,2014,13,ATL,29,18,ARI,ARI,0,1
447,2014,13,BAL,33,34,LAC,BAL,0,0
448,2014,13,BUF,26,10,CLE,BUF,1,1
449,2014,13,GB,26,21,NE,GB,1,1
450,2014,13,HOU,45,21,TEN,HOU,1,1
451,2014,13,IND,49,27,WAS,IND,1,1
452,2014,13,JAX,25,24,NYG,NYG,0,1
453,2014,13,KC,16,29,DEN,KC,0,0
454,2014,13,MIN,31,13,CAR,MIN,1,1
455,2014,13,PIT,32,35,NO,PIT,0,0
456,2014,13,LAR,52,0,LVR,LAR,1,1
457,2014,13,TB,13,14,CIN,CIN,1,0
458,2014,13,NYJ,13,16,MIA,MIA,1,0
459,2014,14,CHI,28,41,DAL,DAL,1,0
460,2014,14,ARI,17,14,KC,KC,0,1
461,2014,14,CIN,21,42,PIT,CIN,0,0
462,2014,14,CLE,24,25,IND,IND,1,0
463,2014,14,DEN,24,17,BUF,DEN,1,1
464,2014,14,DET,34,17,TB,DET,1,1
465,2014,14,JAX,13,27,HOU,HOU,1,0
466,2014,14,MIA,13,28,BAL,MIA,0,0
467,2014,14,MIN,30,24,NYJ,MIN,1,1
468,2014,14,NO,10,41,CAR,NO,0,0
469,2014,14,LVR,24,13,SF,SF,0,1
470,2014,14,PHI,14,24,SEA,SEA,1,0
471,2014,14,LAC,14,23,NE,NE,1,0
472,2014,14,TEN,7,36,NYG,NYG,1,0
473,2014,14,WAS,0,24,LAR,LAR,1,0
474,2014,14,GB,43,37,ATL,GB,1,1
